species_original,species_clean,plant_fam_count,plant_gen_count,bee_family,bee_genus
Lasioglossum puncticolle,Lasioglossum puncticolle,3,11,Halictidae,Lasioglossum
Lasioglossum quebecense,Lasioglossum quebecense,9,12,Halictidae,Lasioglossum
Lasioglossum sexnotatum,Lasioglossum sexnotatum,12,9,Halictidae,Lasioglossum
Lasioglossum subhirtum,Lasioglossum subhirtum,7,8,Halictidae,Lasioglossum
Lasioglossum subviridatum,Lasioglossum subviridatum,10,14,Halictidae,Lasioglossum
Lasioglossum versans,Lasioglossum versans,10,12,Halictidae,Lasioglossum
Lasioglossum versatum,Lasioglossum versatum,13,20,Halictidae,Lasioglossum
Lasioglossum villosulum,Lasioglossum villosulum,2,9,Halictidae,Lasioglossum
Lasioglossum virens,Lasioglossum virens,4,5,Halictidae,Lasioglossum
Lasioglossum xanthopus,Lasioglossum xanthopus,8,16,Halictidae,Lasioglossum
Lasioglossum zephyrum,Lasioglossum zephyrum,11,12,Halictidae,Lasioglossum
Lasioglossum zonulum,Lasioglossum zonulum,12,22,Halictidae,Lasioglossum
Megachile campanulae,Megachile campanulae,3,5,Megachilidae,Megachile
Megachile centuncularis,Megachile centuncularis,13,23,Megachilidae,Megachile
Megachile gemula,Megachile gemula,7,9,Megachilidae,Megachile
Megachile inermis,Megachile inermis,3,5,Megachilidae,Megachile
Megachile latimanus,Megachile latimanus,6,17,Megachilidae,Megachile
Megachile maritima,Megachile maritima,6,12,Megachilidae,Megachile
Megachile mendica,Megachile mendica,3,7,Megachilidae,Megachile
Megachile pilidens,Megachile pilidens,7,13,Megachilidae,Megachile
Megachile pugnata,Megachile pugnata,1,6,Megachilidae,Megachile
Megachile relativa,Megachile relativa,3,5,Megachilidae,Megachile
Megachile willughbiella,Megachile willughbiella,3,6,Megachilidae,Megachile
Melissodes agilis,Melissodes agilis,1,2,Apidae,Melissodes
Melissodes bimaculatus,Melissodes bimaculatus,4,4,Apidae,Melissodes
Melissodes denticulatus,Melissodes denticulatus,1,1,Apidae,Melissodes
Melissodes desponsus,Melissodes desponsus,1,1,Apidae,Melissodes
Melissodes druriellus,Melissodes druriellus,1,1,Apidae,Melissodes
Melissodes illatus,Melissodes illatus,2,4,Apidae,Melissodes
Melissodes subillatus,Melissodes subillatus,1,5,Apidae,Melissodes
Melitturga caudata,Melitturga caudata,2,7,Andrenidae,Melitturga
Nomiapis diversipes,Nomiapis diversipes,12,18,Halictidae,Nomiapis
Nomiapis paulyi,Nomiapis paulyi,10,14,Halictidae,Nomiapis
Osmia atriventris,Osmia atriventris,5,8,Megachilidae,Osmia
